"filename", "language", "JSON", "Python", "Cython", "Shell Script", "C", "comment", "blank", "total"
"c:\Users\Fedor\Desktop\Projects\python_projects\pgaiballs\aiballs\data\level\level.json", "JSON", 21, 0, 0, 0, 0, 0, 3, 24
"c:\Users\Fedor\Desktop\Projects\python_projects\pgaiballs\aiballs\finish.py", "Python", 0, 19, 0, 0, 0, 0, 6, 25
"c:\Users\Fedor\Desktop\Projects\python_projects\pgaiballs\aiballs\finish_scene.py", "Python", 0, 55, 0, 0, 0, 0, 14, 69
"c:\Users\Fedor\Desktop\Projects\python_projects\pgaiballs\aiballs\fps.py", "Python", 0, 11, 0, 0, 0, 2, 3, 16
"c:\Users\Fedor\Desktop\Projects\python_projects\pgaiballs\aiballs\game.py", "Python", 0, 33, 0, 0, 0, 5, 9, 47
"c:\Users\Fedor\Desktop\Projects\python_projects\pgaiballs\aiballs\level.py", "Python", 0, 145, 0, 0, 0, 6, 29, 180
"c:\Users\Fedor\Desktop\Projects\python_projects\pgaiballs\aiballs\level_scene.py", "Python", 0, 108, 0, 0, 0, 2, 20, 130
"c:\Users\Fedor\Desktop\Projects\python_projects\pgaiballs\aiballs\level_selection.py", "Python", 0, 47, 0, 0, 0, 0, 13, 60
"c:\Users\Fedor\Desktop\Projects\python_projects\pgaiballs\aiballs\menu.py", "Python", 0, 46, 0, 0, 0, 0, 14, 60
"c:\Users\Fedor\Desktop\Projects\python_projects\pgaiballs\aiballs\mouse.py", "Python", 0, 27, 0, 0, 0, 2, 6, 35
"c:\Users\Fedor\Desktop\Projects\python_projects\pgaiballs\aiballs\notepad.py", "Python", 0, 20, 0, 0, 0, 0, 7, 27
"c:\Users\Fedor\Desktop\Projects\python_projects\pgaiballs\aiballs\options.py", "Python", 0, 59, 0, 0, 0, 0, 16, 75
"c:\Users\Fedor\Desktop\Projects\python_projects\pgaiballs\aiballs\pause.py", "Python", 0, 26, 0, 0, 0, 0, 6, 32
"c:\Users\Fedor\Desktop\Projects\python_projects\pgaiballs\aiballs\player.py", "Python", 0, 6, 0, 0, 0, 0, 1, 7
"c:\Users\Fedor\Desktop\Projects\python_projects\pgaiballs\aiballs\quit.py", "Python", 0, 20, 0, 0, 0, 0, 7, 27
"c:\Users\Fedor\Desktop\Projects\python_projects\pgaiballs\aiballs\restart.py", "Python", 0, 16, 0, 0, 0, 0, 5, 21
"c:\Users\Fedor\Desktop\Projects\python_projects\pgaiballs\aiballs\scene.py", "Python", 0, 5, 0, 0, 0, 1, 1, 7
"c:\Users\Fedor\Desktop\Projects\python_projects\pgaiballs\aiballs\useraction.py", "Python", 0, 9, 0, 0, 0, 0, 2, 11
"c:\Users\Fedor\Desktop\Projects\python_projects\pgaiballs\aiballs\wall.py", "Python", 0, 27, 0, 0, 0, 0, 7, 34
"c:\Users\Fedor\Desktop\Projects\python_projects\pgaiballs\level1.json", "JSON", 48, 0, 0, 0, 0, 0, 2, 50
"c:\Users\Fedor\Desktop\Projects\python_projects\pgaiballs\level2.json", "JSON", 63, 0, 0, 0, 0, 0, 0, 63
"c:\Users\Fedor\Desktop\Projects\python_projects\pgaiballs\setup.py", "Python", 0, 10, 0, 0, 0, 0, 2, 12
"c:\Users\Fedor\Desktop\Projects\python_projects\pgaiballs\template.json", "JSON", 39, 0, 0, 0, 0, 0, 0, 39
"Total", "-", 311, 981, 131, 5479, 8070, 1555, 1244, 17771
